id_chantier,adresse,code_postal,latitude,longitude
1628,6 rue Michel Peter,75013,48.83668786929319,2.3532704924950516
1690,73 rue Charlot,75003,48.8641064381822,2.363907633253626
1260,1 rue Jean de Beauvais,75005,48.850147989112166,2.3475560033515395
496,8 boulevard du Palais,75001,48.85484282823629,2.3451407181016464
507,3 rue de la Cité,75004,48.855107964258586,2.3481561802028397
1014,53 rue Saint-Jacques,75005,48.85057549925956,2.3455553853265996
2100,49 rue Monge,75005,48.845139617185964,2.3523186804831178
1439,123 rue Saint-Jacques,75005,48.84801754669502,2.3441758663245498
1944,1 rue des Abbesses,75018,48.883684850654234,2.3395177104315117
1746,8 rue Lesdiguières,75004,48.85271969951774,2.366926849373477
1668,42 boulevard Saint-Marcel,75005,48.83869848947855,2.357190923472437
1535,22 rue de Bièvre,75005,48.85042297298454,2.350043908666531
2066,12 rue de Béarn,75003,48.85736466429302,2.36631447753585
438,33 rue Pierre-Nicole,75005,48.840075788215906,2.3390717795154594
1565,2 boulevard Arago,75013,48.836618949975325,2.3506590921984656
1421,1 rue du Petit-Pont,75005,48.852667669943784,2.346723737583816
1423,13 rue du Pot-de-Fer,75005,48.84284534055645,2.3484090870544856
1943,1 rue de la Chaussée d'Antin,75009,48.8711868967922,2.3338898682752824
512,1 place Sainte-Geneviève,75005,48.84654610288436,2.3475969958495937
2193,29 rue Gay Lussac,75005,48.84422809861295,2.3422441038127855
944,60 rue des Francs-Bourgeois,75003,48.85996277333162,2.3572721977765747
2109,6 rue Toullier,75005,48.847276458594834,2.342943578896714
1256,11 rue des Carmes,75005,48.84873948155072,2.347485646807436
463,5 place de la Bastille,75004,48.85357516385988,2.368288205225425
1202,19 rue Pierre Nicole,75005,48.840998582601465,2.3397803492346254
960,2 rue du Mont-Cenis,75018,48.88670828858349,2.3415067094794964
176,2 rue de la Cité,75004,48.85441829482731,2.347438327583432
502,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
1238,1 rue du Sommerard,75005,48.84965131862603,2.3476136247762454
205,36 rue Saint-Jacques,75005,48.850332828071636,2.3451399404989197
683,1 rue Saint-Julien-le-Pauvre,75005,48.85213961560592,2.346864131728101
1139,1 rue du Petit-Pont,75005,48.852667669943784,2.346723737583816
476,30 quai Henri IV,75004,48.84879624575905,2.362873895404957
802,14 rue Saint-Martin,75004,48.85818818174169,2.3498973187606294
1121,46 rue de Vaugirard,75006,48.84910214199402,2.3344957645330155
2248,3 rue de la Cité,75004,48.855107964258586,2.3481561802028397
260,36 rue Geoffroy-Saint-Hilaire,75005,48.84149138435835,2.35598881185959
1811,1 rue Clotilde,75005,48.846064030124616,2.347181915429777
1490,284 rue Saint-Jacques,75005,48.8414857692138,2.34106909273665
1274,1 quai de Gesvres,75004,48.85601759390315,2.3504264723395325
1419,2 rue d Ulm,75005,48.84547433841967,2.3456872629147267
2025,120 rue de Lyon,75012,48.851528066189665,2.37011532005861
332,79 boulevard Saint-Marcel,75013,48.8369321441184,2.3529557679284605
2016,23v place de la Concorde,75008,48.865441336819025,2.3210990274976115
1398,22 rue Gay-Lussac,75005,48.84502828058958,2.341528353011738
497,11 avenue des Gobelins,75013,48.8357986388216,2.351239592880491
1154,218 rue Saint-Jacques,75005,48.84505929755879,2.3423274984162497
1479,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
535,31 rue de Tournon,75006,48.84960454309167,2.3374809811386403
1652,1 rue Coquillière,75001,48.86348466670738,2.343185330505689
485,1 rue Descartes,75005,48.8474848368881,2.348666731833887
1104,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
895,19 rue Cujas,75005,48.84785481431862,2.342235734310936
1912,68 rue de Rivoli,75004,48.85750086591858,2.351980557468488
1474,2w rue de Médicis,75006,48.84751160873264,2.338563528122298
74,4 rue Pierre et Marie Curie,75005,48.844492742000114,2.34474450224746
2144,8 rue Baillet,75001,48.85984950889528,2.3423840837859915
2189,1 place du Châtelet,75001,48.85761393865473,2.346758121848255
2137,92 boulevard de Port Royal,75005,48.83946794649954,2.338168052831851
69,1 rue de Bazeilles,75005,48.83925976104539,2.3503281095433604
268,1 place Jussieu,75005,48.846144079083814,2.3551261350446473
1102,6 place Paul Painlevé,75005,48.85033224301176,2.343933230067444
2159,174 rue Saint-Jacques,75005,48.84652256528316,2.343049138578695
15,6b rue de l'Abbaye,75006,48.85413970073038,2.3353517290819052
1335,64 rue des Ecoles,75005,48.85030454345199,2.3429663679706167
2272,1 place Sainte-Geneviève,75005,48.84654610288436,2.3475969958495937
